"","author_name","lead_or_other","n","Total"
"1","Millet GY","other",31,38
"2","Maffiuletti NA","other",30,35
"3","Rice CL","other",29,29
"4","Martin A","other",27,27
"5","Lepers R","other",22,24
"6","Martin V","other",22,28
"7","de Haan A","other",18,19
"8","Ratel S","other",15,16
"9","Cramer JT","other",14,14
"10","Jubeau M","other",14,16
"11","Place N","other",14,22
"12","Taylor JL","other",14,16
"13","Gandevia SC","other",13,15
"14","Blazevich AJ","other",12,12
"15","Verges S","other",12,12
"16","Zijdewind I","other",12,12
"17","Bertuzzi R","other",11,12
"18","Häkkinen K","other",11,11
"19","Lima-Silva AE","other",11,11
"20","Racinais S","other",11,16
"21","Snyder-Mackler L","other",11,11
"22","Awiszus F","other",10,10
"23","Bruhn S","other",10,10
"24","Kayser B","other",10,10
"25","Maganaris CN","other",10,10
"26","Rymer WZ","other",10,10
"27","Behm DG","other",9,16
"28","Duchateau J","other",9,15
"29","Jones DA","other",9,9
"30","Marino FE","other",9,9
"31","Neyroud D","lead",9,9
"32","Pousson M","other",9,9
"33","Brazaitis M","other",8,10
"34","Cannon J","other",8,9
"35","Goodall S","other",8,9
"36","Herzog W","other",8,9
"37","Marshall PW","lead",8,10
"38","Narici MV","other",8,8
"39","Nosaka K","other",8,8
"40","Place N","lead",8,22
"41","Power GA","other",8,12
"42","Ryan ED","other",8,10
"43","Schena F","other",8,8
"44","Siegler JC","other",8,11
"45","Wuyam B","other",8,8
"46","Babault N","other",7,12
"47","Behm DG","lead",7,16
"48","Behrens M","lead",7,11
"49","Costa PB","other",7,7
"50","de Ruiter CJ","lead",7,11
"51","Doherty TJ","other",7,7
"52","Enoka RM","other",7,9
"53","Girard O","lead",7,12
"54","Howatson G","other",7,7
"55","Hunter SK","other",7,10
"56","Jakobi JM","other",7,9
"57","Lattier G","other",7,8
"58","Mau-Moeller A","other",7,8
"59","Millet GP","other",7,7
"60","Millet GY","lead",7,38
"61","Reeves ND","other",7,7
"62","Silva-Cavalcante MD","other",7,9
"63","Skurvydas A","other",7,12
"64","Stout JR","other",7,7
