"","PMID","title","author_list","citation","journal","year","DOI","position","author_name","lead_or_other"
"1",18039594,"Clinical neurophysiology of fatigue","Zwarts MJ, Bleijenberg G, van Engelen BG.","Clin Neurophysiol. 2008 Jan;119(1):2-10. doi: 10.1016/j.clinph.2007.09.126. Epub 2007 Nov 26.","Clin Neurophysiol",2008,"10.1016/j.clinph.2007.09.126","lead_author","Zwarts MJ","lead"
"2",32290188,"Involvement of Lactate and Pyruvate in the Anti-Inflammatory Effects Exerted by Voluntary Activation of the Sympathetic Nervous System","Zwaag J, Ter Horst R, Blaženovic I, Stoessel D, Ratter J, Worseck JM, Schauer N, Stienstra R, Netea MG, Jahn D, Pickkers P, Kox M.","Metabolites. 2020 Apr 10;10(4):148. doi: 10.3390/metabo10040148.","Metabolites",2020,"10.3390/metabo10040148","lead_author","Zwaag J","lead"
"3",29796857,"Cross-education does not accelerate the rehabilitation of neuromuscular functions after ACL reconstruction: a randomized controlled clinical trial","Zult T, Gokeler A, van Raay JJAM, Brouwer RW, Zijdewind I, Farthing JP, Hortobágyi T.","Eur J Appl Physiol. 2018 Aug;118(8):1609-1623. doi: 10.1007/s00421-018-3892-1. Epub 2018 May 23.","Eur J Appl Physiol",2018,"10.1007/s00421-018-3892-1","lead_author","Zult T","lead"
"4",27665093,"An anterior cruciate ligament injury does not affect the neuromuscular function of the non-injured leg except for dynamic balance and voluntary quadriceps activation","Zult T, Gokeler A, van Raay JJ, Brouwer RW, Zijdewind I, Hortobágyi T.","Knee Surg Sports Traumatol Arthrosc. 2017 Jan;25(1):172-183. doi: 10.1007/s00167-016-4335-3. Epub 2016 Sep 24.","Knee Surg Sports Traumatol Arthrosc",2017,"10.1007/s00167-016-4335-3","lead_author","Zult T","lead"
"5",31744401,"Neuromuscular performance after rapid weight loss in Olympic-style boxers","Zubac D, Šimunic B, Buoite Stella A, Morrison SA.","Eur J Sport Sci. 2020 Sep;20(8):1051-1060. doi: 10.1080/17461391.2019.1695954. Epub 2019 Dec 2.","Eur J Sport Sci",2020,"10.1080/17461391.2019.1695954","lead_author","Zubac D","lead"
"6",20200801,"Thigh muscles' responses caused by a single combined aerobic and resistance training session in healthy young men","Zory R, Weist R, Malakieh J, Grenier S.","Int J Sports Med. 2010 May;31(5):311-8. doi: 10.1055/s-0030-1248329. Epub 2010 Mar 3.","Int J Sports Med",2010,"10.1055/s-0030-1248329","lead_author","Zory R","lead"
"7",16320169,"Central and peripheral fatigue of the knee extensor muscles induced by electromyostimulation","Zory R, Boërio D, Jubeau M, Maffiuletti NA.","Int J Sports Med. 2005 Dec;26(10):847-53. doi: 10.1055/s-2005-837459.","Int J Sports Med",2005,"10.1055/s-2005-837459","lead_author","Zory R","lead"
"8",29023563,"Influence of platinum harmonized textile on neuromuscular, systemic and subjective recovery","Zinke F, Bakenecker P, Hahn D.","PLoS One. 2017 Oct 12;12(10):e0186162. doi: 10.1371/journal.pone.0186162. eCollection 2017.","PLoS One",2017,"10.1371/journal.pone.0186162","lead_author","Zinke F","lead"
"9",22818404,"Computing motor unit number index of the first dorsal interosseous muscle with two different contraction tasks","Zhou P, Li X, Rymer WZ.","Med Eng Phys. 2012 Oct;34(8):1209-12. doi: 10.1016/j.medengphy.2012.06.011. Epub 2012 Jul 18.","Med Eng Phys",2012,"10.1016/j.medengphy.2012.06.011","lead_author","Zhou P","lead"
"10",34189949,"Exercising muscle mass influences neuromuscular, cardiorespiratory, and perceptual responses during and following ramp-incremental cycling to task failure","Zhang J, Iannetta D, Alzeeby M, MacInnis MJ, Aboodarda SJ.","Am J Physiol Regul Integr Comp Physiol. 2021 Aug 1;321(2):R238-R249. doi: 10.1152/ajpregu.00286.2020. Epub 2021 Jun 30.","Am J Physiol Regul Integr Comp Physiol",2021,"10.1152/ajpregu.00286.2020","lead_author","Zhang J","lead"
