PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"11581501","Spinal and supraspinal factors in human muscle fatigue","Gandevia SC.","Physiol Rev. 2001 Oct;81(4):1725-89. doi: 10.1152/physrev.2001.81.4.1725.","Gandevia SC","Physiol Rev","2001","2001/10/03","","","10.1152/physrev.2001.81.4.1725"
"32251254","Using TENS to Enhance Therapeutic Exercise in Individuals with Knee Osteoarthritis","Pietrosimone B, Luc-Harkey BA, Harkey MS, Davis-Wilson HC, Pfeiffer SJ, Schwartz TA, Nissman D, Padua DA, Blackburn JT, Spang JT.","Med Sci Sports Exerc. 2020 Oct;52(10):2086-2095. doi: 10.1249/MSS.0000000000002353.","Pietrosimone B","Med Sci Sports Exerc","2020","2020/04/07","","","10.1249/MSS.0000000000002353"
"27516536","The aging neuromuscular system and motor performance","Hunter SK, Pereira HM, Keenan KG.","J Appl Physiol (1985). 2016 Oct 1;121(4):982-995. doi: 10.1152/japplphysiol.00475.2016. Epub 2016 Aug 11.","Hunter SK","J Appl Physiol (1985)","2016","2016/08/13","PMC5142309","","10.1152/japplphysiol.00475.2016"
"15049717","Assessing voluntary muscle activation with the twitch interpolation technique","Shield A, Zhou S.","Sports Med. 2004;34(4):253-67. doi: 10.2165/00007256-200434040-00005.","Shield A","Sports Med","2004","2004/03/31","","","10.2165/00007256-200434040-00005"
"30440852","Estimating Voluntary Activation Of The Elbow And Wrist Muscles In Chronic Hemiparetic Stroke Using Twitch Interpolation Methodology","Garmirian LRP, Acosta AM, Hill NM, Dewald JPA.","Annu Int Conf IEEE Eng Med Biol Soc. 2018 Jul;2018:2244-2247. doi: 10.1109/EMBC.2018.8512791.","Garmirian LRP","Annu Int Conf IEEE Eng Med Biol Soc","2018","2018/11/17","PMC7857336","NIHMS1593202","10.1109/EMBC.2018.8512791"
"18296068","Voluntary activation of trapezius measured with twitch interpolation","Taylor JL, Olsen HB, Sjøgaard G, Søgaard K.","J Electromyogr Kinesiol. 2009 Aug;19(4):584-90. doi: 10.1016/j.jelekin.2008.01.001. Epub 2008 Mar 4.","Taylor JL","J Electromyogr Kinesiol","2009","2008/02/26","","","10.1016/j.jelekin.2008.01.001"
"29986151","Neuromuscular adaptations to healthy aging","McNeil CJ, Rice CL.","Appl Physiol Nutr Metab. 2018 Nov;43(11):1158-1165. doi: 10.1139/apnm-2018-0327. Epub 2018 Jul 9.","McNeil CJ","Appl Physiol Nutr Metab","2018","2018/07/10","","","10.1139/apnm-2018-0327"
"22315569","The non-linear relationship between muscle voluntary activation level and voluntary force measured by the interpolated twitch technique","Huang YM, Hsu MJ, Lin CH, Wei SH, Chang YJ.","Sensors (Basel). 2010;10(1):796-807. doi: 10.3390/s100100796. Epub 2010 Jan 21.","Huang YM","Sensors (Basel)","2010","2012/02/09","PMC3270870","","10.3390/s100100796"
"32324475","Unlike voluntary contractions, stimulated contractions of a hand muscle do not reduce voluntary activation or motoneuronal excitability","D'Amico JM, Rouffet DM, Gandevia SC, Taylor JL.","J Appl Physiol (1985). 2020 May 1;128(5):1412-1422. doi: 10.1152/japplphysiol.00553.2019. Epub 2020 Apr 23.","D'Amico JM","J Appl Physiol (1985)","2020","2020/04/24","PMC7272748","","10.1152/japplphysiol.00553.2019"
"19670470","The interpolated twitch to determine voluntary activation in various conditions","Babault N.","J Appl Physiol (1985). 2009 Jul;107(1):360; discussion 367-8. doi: 10.1152/japplphysiol.00362.2009.","Babault N","J Appl Physiol (1985)","2009","2009/08/12","","","10.1152/japplphysiol.00362.2009"
"33535411","Reliability of Tibialis Anterior Muscle Voluntary Activation Using the Interpolated Twitch Technique and the Central Activation Ratio in People with Stroke","Olsen S, Signal N, Niazi IK, Alder G, Rashid U, Nedergaard RB, Taylor D.","Brain Sci. 2021 Feb 1;11(2):176. doi: 10.3390/brainsci11020176.","Olsen S","Brain Sci","2021","2021/02/04","PMC7912757","","10.3390/brainsci11020176"
"30496711","CORP: Measurement of upper and lower limb muscle strength and voluntary activation","Nuzzo JL, Taylor JL, Gandevia SC.","J Appl Physiol (1985). 2019 Mar 1;126(3):513-543. doi: 10.1152/japplphysiol.00569.2018. Epub 2018 Nov 29.","Nuzzo JL","J Appl Physiol (1985)","2019","2018/11/30","","","10.1152/japplphysiol.00569.2018"
"33270515","Voluntary activation of knee extensor muscles with transcranial magnetic stimulation","Nuzzo JL, Kennedy DS, Finn HT, Taylor JL.","J Appl Physiol (1985). 2021 Mar 1;130(3):589-604. doi: 10.1152/japplphysiol.00717.2020. Epub 2020 Dec 3.","Nuzzo JL","J Appl Physiol (1985)","2021","2020/12/03","","","10.1152/japplphysiol.00717.2020"
"31688647","Age-related Deficits in Voluntary Activation: A Systematic Review and Meta-analysis","Rozand V, Sundberg CW, Hunter SK, Smith AE.","Med Sci Sports Exerc. 2020 Mar;52(3):549-560. doi: 10.1249/MSS.0000000000002179.","Rozand V","Med Sci Sports Exerc","2020","2019/11/06","PMC8015244","NIHMS1549952","10.1249/MSS.0000000000002179"
"32910865","Reliability of diaphragm voluntary activation measurements in healthy adults","Ramsook AH, Molgat-Seon Y, Boyle KG, Mitchell RA, Puyat JH, Koehle MS, Sheel AW, Guenette JA.","Appl Physiol Nutr Metab. 2021 Mar;46(3):247-256. doi: 10.1139/apnm-2020-0221. Epub 2020 Sep 10.","Ramsook AH","Appl Physiol Nutr Metab","2021","2020/09/10","","","10.1139/apnm-2020-0221"
"27418687","Measurement of voluntary activation based on transcranial magnetic stimulation over the motor cortex","Todd G, Taylor JL, Gandevia SC.","J Appl Physiol (1985). 2016 Sep 1;121(3):678-86. doi: 10.1152/japplphysiol.00293.2016. Epub 2016 Jul 14.","Todd G","J Appl Physiol (1985)","2016","2016/07/16","","","10.1152/japplphysiol.00293.2016"
"29017138","Pitfalls and errors in measuring jitter","Stålberg E, Sanders DB, Kouyoumdjian JA.","Clin Neurophysiol. 2017 Nov;128(11):2233-2241. doi: 10.1016/j.clinph.2017.09.001. Epub 2017 Sep 21.","Stålberg E","Clin Neurophysiol","2017","2017/10/11","","","10.1016/j.clinph.2017.09.001"
"25727892","The effect of metabolic alkalosis on central and peripheral mechanisms associated with exercise-induced muscle fatigue in humans","Siegler JC, Marshall P.","Exp Physiol. 2015 Apr 20;100(5):519-30. doi: 10.1113/EP085054.","Siegler JC","Exp Physiol","2015","2015/03/03","","","10.1113/EP085054"
"16271009","Electrical stimulation superimposed onto voluntary muscular contraction","Paillard T, Noé F, Passelergue P, Dupui P.","Sports Med. 2005;35(11):951-66. doi: 10.2165/00007256-200535110-00003.","Paillard T","Sports Med","2005","2005/11/08","","","10.2165/00007256-200535110-00003"
"23429873","Insights into the neural control of eccentric contractions","Duchateau J, Baudry S.","J Appl Physiol (1985). 2014 Jun 1;116(11):1418-25. doi: 10.1152/japplphysiol.00002.2013. Epub 2013 Feb 21.","Duchateau J","J Appl Physiol (1985)","2014","2013/02/23","","","10.1152/japplphysiol.00002.2013"
"32102061","Voluntary Activation and Reflex Responses after Hamstring Strain Injury","Buhmann R, Trajano GS, Kerr G, Shield A.","Med Sci Sports Exerc. 2020 Sep;52(9):1862-1869. doi: 10.1249/MSS.0000000000002327.","Buhmann R","Med Sci Sports Exerc","2020","2020/02/27","","","10.1249/MSS.0000000000002327"
"16357013","Length-dependent changes in voluntary activation, maximum voluntary torque and twitch responses after eccentric damage in humans","Prasartwuth O, Allen TJ, Butler JE, Gandevia SC, Taylor JL.","J Physiol. 2006 Feb 15;571(Pt 1):243-52. doi: 10.1113/jphysiol.2005.101600. Epub 2005 Dec 15.","Prasartwuth O","J Physiol","2006","2005/12/17","PMC1805656","","10.1113/jphysiol.2005.101600"
"12777410","Variability in the interpolated twitch torque for maximal and submaximal voluntary contractions","Oskouei MA, Van Mazijk BC, Schuiling MH, Herzog W.","J Appl Physiol (1985). 2003 Oct;95(4):1648-55. doi: 10.1152/japplphysiol.01189.2002. Epub 2003 May 30.","Oskouei MA","J Appl Physiol (1985)","2003","2003/06/05","","","10.1152/japplphysiol.01189.2002"
